aX,aY,aZ,gX,gY,gZ
0.108,-0.077,0.971,5.005,-1.831,1.099
0.101,-0.078,0.970,5.127,-1.587,1.282
0.095,-0.073,0.963,4.822,-1.343,1.465
0.097,-0.070,0.957,4.883,-1.465,1.526
0.100,-0.069,0.954,5.432,-1.587,1.465
0.107,-0.071,0.956,5.798,-1.526,1.465
0.110,-0.072,0.958,5.859,-1.160,1.587
0.110,-0.072,0.958,6.104,-1.221,1.709
0.105,-0.072,0.959,6.226,-1.648,1.709
0.102,-0.073,0.957,6.165,-1.831,1.587
0.105,-0.075,0.979,6.348,-1.892,1.282
0.117,-0.107,1.029,6.409,-1.526,1.160
0.112,-0.118,1.031,5.676,-0.671,1.404
0.099,-0.102,1.006,3.845,0.000,1.770
0.095,-0.088,0.994,2.991,-0.305,1.831
0.097,-0.078,0.970,2.380,-0.549,1.892
0.103,-0.068,0.943,2.197,-0.732,1.587
0.109,-0.060,0.936,2.258,-0.732,1.404
0.111,-0.061,0.941,2.747,-0.610,1.648
0.107,-0.063,0.943,3.418,-0.671,1.465
0.104,-0.066,0.950,3.906,-0.671,1.343
0.102,-0.070,0.955,4.578,-0.793,1.465
0.104,-0.071,0.962,4.700,-0.916,1.648
0.108,-0.079,0.976,5.127,-0.854,1.770
0.109,-0.084,0.982,4.761,-0.671,1.648
0.107,-0.082,0.977,4.456,-0.244,1.648
0.105,-0.078,0.971,4.456,-0.122,1.770
0.102,-0.074,0.963,4.272,-0.427,1.648
0.102,-0.072,0.955,4.150,-0.610,1.465
0.104,-0.070,0.958,3.967,-0.916,1.404
1.570,-0.423,0.888,-4.150,54.199,96.985
1.665,-0.447,0.709,0.366,67.627,138.916
1.647,-0.429,0.629,7.324,72.205,177.063
1.494,-0.440,0.641,16.296,65.247,207.092
1.174,-0.424,0.636,26.855,52.673,229.553
0.837,-0.442,0.616,36.621,41.443,244.934
0.399,-0.385,0.657,43.030,26.001,254.456
-0.046,-0.317,0.757,49.255,10.986,254.761
-0.550,-0.226,0.947,53.223,-4.333,245.483
-1.083,-0.107,1.174,53.345,-18.250,226.318
-1.633,-0.026,1.386,49.927,-29.053,197.693
-1.996,-0.051,1.506,42.419,-33.630,160.767
-2.215,-0.101,1.527,32.593,-31.311,121.643
-2.212,-0.119,1.474,19.043,-23.071,76.477
-2.111,-0.139,1.418,8.545,-19.348,31.677
-1.643,-0.057,1.389,-1.892,-13.794,-9.705
-0.797,-0.055,1.197,-10.010,0.427,-42.786
-0.316,-0.048,0.948,-14.282,14.343,-60.791
-0.092,-0.026,0.886,-14.954,16.846,-71.899
0.004,-0.040,0.913,-14.465,9.888,-82.092
-0.007,-0.053,0.888,-14.709,-5.005,-90.515
-0.024,-0.085,0.856,-12.085,-15.747,-97.900
-0.011,-0.132,0.866,-9.705,-25.757,-105.896
0.014,-0.155,0.896,-6.409,-29.358,-110.535
0.035,-0.194,0.893,-3.235,-27.710,-111.450
0.013,-0.161,0.877,-0.061,-29.175,-107.117
-0.033,-0.156,0.918,2.869,-28.992,-103.333
-0.024,-0.213,1.016,5.188,-27.100,-103.455
-0.002,-0.222,1.052,4.822,-22.705,-103.027
0.006,-0.172,1.041,2.808,-17.761,-100.098
0.062,-0.214,1.093,2.075,-14.587,-101.196
0.127,-0.238,1.126,-0.122,-11.963,-109.436
0.236,-0.245,1.129,-4.272,-7.324,-112.549
0.310,-0.217,1.096,-8.423,-2.930,-111.328
0.371,-0.190,1.025,-12.451,1.160,-106.384
0.424,-0.144,0.975,-14.587,3.723,-100.281
0.448,-0.120,0.920,-15.686,4.517,-94.238
0.463,-0.074,0.873,-15.381,4.028,-87.891
0.492,-0.062,0.839,-14.160,3.296,-81.299
0.531,-0.045,0.806,-12.573,2.380,-74.768
0.538,-0.015,0.771,-9.827,1.160,-66.345
0.525,0.000,0.755,-6.714,-0.427,-58.105
0.546,0.024,0.748,-2.686,-1.892,-50.110
0.575,0.013,0.812,1.648,-2.991,-41.321
0.612,-0.030,0.841,5.432,-2.991,-32.410
0.621,-0.015,0.844,7.812,-2.014,-21.606
0.601,-0.036,0.873,10.742,-0.732,-10.193
0.518,-0.063,0.928,13.367,-0.122,-0.549
