aX,aY,aZ,gX,gY,gZ
1.347,-0.237,0.707,-15.869,25.879,-271.851
1.823,-0.053,0.627,-17.212,24.658,-249.268
2.130,0.082,0.689,-14.038,15.930,-218.140
2.439,0.153,0.737,-9.460,5.981,-179.749
2.591,0.187,0.690,-4.150,3.601,-135.864
2.605,0.197,0.769,-0.610,2.625,-93.323
2.519,0.122,0.826,6.897,12.207,-52.551
2.093,0.002,0.845,16.418,11.658,-16.113
1.278,-0.034,1.116,20.081,-16.418,12.634
0.766,-0.164,1.248,22.522,-24.109,24.536
0.584,-0.197,1.160,22.217,-16.052,44.922
0.432,-0.271,1.080,24.780,-1.770,81.177
0.419,-0.283,1.071,29.114,12.573,124.390
0.460,-0.414,1.029,35.583,27.527,163.757
0.408,-0.353,0.949,37.842,39.734,206.421
0.473,-0.266,0.936,37.354,36.804,235.474
0.479,-0.231,0.909,39.429,26.855,241.516
0.548,-0.227,0.855,40.527,30.396,225.708
0.528,-0.255,0.778,32.104,22.095,202.332
0.450,-0.257,0.796,23.499,-0.305,190.369
0.370,-0.343,0.806,21.973,-9.888,190.857
0.247,-0.401,0.800,22.705,-12.024,199.890
0.095,-0.402,0.862,25.696,-11.719,210.937
-0.075,-0.410,0.913,29.358,-9.705,220.032
-0.262,-0.431,0.896,30.762,-10.071,222.473
-0.456,-0.418,0.886,26.489,-18.188,215.088
-0.698,-0.378,1.001,21.179,-27.527,197.937
-0.838,-0.340,1.012,16.907,-21.912,169.312
-1.023,-0.293,1.084,16.113,-12.695,134.399
-1.118,-0.447,1.046,16.235,-10.864,100.769
-1.307,-0.373,1.223,13.672,-26.428,83.130
-1.288,-0.367,1.198,14.648,-16.357,66.956
-1.284,-0.345,1.203,12.878,-10.742,49.927
-1.186,-0.304,1.222,10.742,-6.287,33.569
-1.035,-0.260,1.222,8.301,-3.601,13.611
-0.648,-0.201,1.167,4.883,1.221,-4.395
-0.130,-0.131,1.042,2.319,11.230,-15.442
0.229,-0.070,0.951,1.160,17.883,-18.799
0.464,-0.089,0.877,0.977,18.188,-18.738
0.513,-0.014,0.858,1.404,12.939,-15.381
0.492,-0.002,0.821,1.587,4.211,-15.259
